Name,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio,Ann. Turnover,Final Wealth ($)
Vanilla ONS,0.053519677876955996,0.10502132687569306,0.12873267736972688,-0.30796810753434983,0.173783176990672,0.11284999154435287,136360.26542380647
MA-ONS,0.05353277810900625,0.10503961538263154,0.12883498070094904,-0.30794629571487825,0.17383802668044102,0.11156425488417437,136370.35188050056
BCRP,0.16501713120356398,0.15088063717193656,0.8285829465000921,-0.31162520991109666,0.5295371512313465,0.31941294196130626,248068.69641113823
Exp. Gradient,0.05265095742018544,0.105204693359404,0.1202508729763421,-0.3077961586422649,0.17105787135829767,0.2267046060901674,135692.7822294003
Equal Weight,0.05384213156529283,0.10484792257738564,0.13202102535571025,-0.30688106817846417,0.17544949947673666,0.0,136608.71743725997
Markowitz,0.05761364822694426,0.06375055030081375,0.2762900928843982,-0.31257666736933054,0.18431844855420812,0.9168389434718204,139542.76145413474
